rh,rhpercent,heatindex,utci,apparenttemperature,wbgts,wbgt,net,humidex,windchill
2.29473E-62,64.77071241,50.59517795,31.68,303.5889,24.27,34.49,40.58198469,31.81680821,58.89
6.93036E-90,86.53076472,34.48123685,27.18,295.9759,18.60,35.23,31.05615616,23.11586174,50.17
0,93.85021394,-2.195719631,6.73,272.5235,5.70,7.12,3.312577554,1.071192816,8.31
0,93.85382966,-2.163202182,6.73,272.5416,5.71,7.12,3.334378586,1.091873513,8.34
0,93.84405986,-2.083681977,6.85,272.5956,5.74,7.24,3.397174261,1.140124924,8.43
0,93.7696066,-1.950901008,7.04,272.682,5.78,7.41,3.498504403,1.213456263,8.57
0,93.7273636,-1.851684088,7.22,272.7459,5.82,7.58,3.57345667,1.26993198,8.68
0,93.58093097,-1.61477467,7.42,272.8908,5.90,7.77,3.744969013,1.399191824,8.91
0,93.47119909,-1.487256675,7.51,272.9637,5.95,7.87,3.832153553,1.465008253,9.02
0,93.41811306,-1.416025643,7.55,272.998,5.97,7.91,3.87456698,1.50280585,9.07
0,93.21581093,-1.177962467,7.60,273.1282,6.06,7.97,4.031697373,1.62619944,9.26
0,93.11981786,-1.160395371,7.53,273.1239,6.06,7.92,4.029659501,1.625461677,9.24
0,93.08819685,-1.155844471,7.62,273.1749,6.06,7.99,4.080489529,1.62445871,9.37
0,93.04640274,-1.148030499,7.61,273.161,6.07,7.98,4.067604795,1.624259324,9.33
0,93.04219827,-1.166976788,7.59,273.1353,6.06,7.96,4.040020821,1.61196131,9.28
0,93.05469815,-1.206111749,7.51,273.0965,6.05,7.89,3.997131966,1.589122626,9.20
0,93.12912033,-1.322106826,7.44,273.0157,6.01,7.83,3.903528785,1.525968606,9.06
0,93.18026697,-1.38233526,7.40,272.9715,5.98,7.79,3.85274733,1.494708517,8.98
0,93.23077429,-1.434774214,7.32,272.9413,5.97,7.71,3.816561603,1.468229879,8.94
0,93.35718671,-1.606513536,7.18,272.8438,5.91,7.58,3.699573454,1.376817235,8.79
0,93.4455143,-1.706390482,7.06,272.7897,5.87,7.46,3.634136767,1.325510854,8.71
0,93.50387614,-1.776208805,6.94,272.7509,5.85,7.34,3.587464259,1.289251305,8.65
0,93.60049323,-1.89970186,6.82,272.6782,5.80,7.23,3.500795632,1.224339627,8.53
0,93.70298045,-2.050130173,6.70,272.5839,5.75,7.11,3.389715309,1.143444973,8.38
0,93.86210178,-2.277201225,6.72,272.4935,5.67,7.10,3.27339159,1.02198615,8.28
0,93.90877346,-2.317576316,6.66,272.4536,5.66,7.05,3.228967397,1.00270112,8.20
5.5999E-115,88.87624571,25.94881061,19.93,289.3046,15.60,21.69,23.3129142,18.02933237,35.29
6.44E-116,89.18025626,25.69520329,19.91,289.1873,15.51,21.61,23.16080196,17.9022762,35.09
2.7201E-118,89.69097807,25.07064884,19.73,288.828,15.29,21.36,22.72720222,17.56605763,34.51
1.2603E-118,89.8863775,24.98460894,19.70,288.7871,15.26,21.32,22.67481946,17.53287559,34.44
1.4867E-118,89.99799076,25.00304796,19.70,288.7901,15.27,21.33,22.68109813,17.55605581,34.45
3.6214E-116,89.69715354,25.62833494,19.97,289.1716,15.49,21.64,23.13373224,17.91384721,35.07
1.0679E-113,89.11260227,26.30068237,20.31,289.5864,15.73,22.02,23.62423293,18.27231683,35.74
8.3005E-111,88.49140773,27.1224107,20.73,290.1076,16.01,22.48,24.23579055,18.72146471,36.58
1.5335E-104,86.92703421,29.04572333,21.54,291.3501,16.69,23.39,25.68671184,19.76805739,38.60
3.4579E-100,85.58919825,30.50999007,22.17,292.3466,17.21,24.07,26.83562621,20.55768585,40.22
2.50378E-94,83.79025339,32.67312085,23.04,293.9693,17.97,24.96,28.67343647,21.75007804,42.94
3.33026E-93,83.3388983,33.11594243,23.21,294.3475,18.12,25.10,29.09600633,21.98870039,43.62
1.427E-92,83.04658868,33.3691772,23.30,294.5835,18.21,25.18,29.35838859,22.12269129,44.07
2.69718E-92,82.82977486,33.48095091,23.36,294.6878,18.25,25.23,29.47506324,22.17487836,44.27
1.79514E-92,82.83454028,33.40940324,23.32,294.6269,18.23,25.20,29.40616333,22.13069641,44.16
1.63131E-94,83.45529007,32.60072591,23.03,294.0579,17.94,24.88,28.74765452,21.67733067,43.17
1.10495E-95,83.97350149,32.15160491,22.83,293.6856,17.78,24.68,28.32884315,21.44054832,42.50
5.9721E-99,85.04029616,30.94745021,22.31,292.7703,17.36,24.16,27.2913727,20.78175018,40.94
6.7611E-101,85.53345282,30.26377018,21.96,292.1697,17.12,23.85,26.63421326,20.39938996,39.93
4.0521E-102,85.92461049,29.84644053,21.65,291.7599,16.97,23.62,26.1992383,20.17452091,39.27
7.5783E-106,86.9680738,28.62775977,21.02,290.8812,16.54,23.01,25.20407497,19.51164398,37.86
1.364E-108,87.55630382,27.77930679,20.54,290.2657,16.25,22.56,24.50944747,19.03915869,36.88
1.7435E-112,88.33213765,26.64077966,20.06,289.5811,15.85,21.99,23.69324021,18.40582772,35.76
1.1424E-113,88.66481101,26.30882103,19.87,289.336,15.73,21.82,23.41814264,18.23222775,35.38
